,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
101,271602,Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda,Uttar Pradesh,True
102,535270,Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram_SaibabaTmpl_DPP (Andhra Pradesh),Gajapatinagaram,Andhra Pradesh,True
103,563132,Mulbagal_Sunku_D (Karnataka),Mulbagal_Sunku_D (Karnataka),Mulbagal_Sunku_D (Karnataka),Mulbagal,Karnataka,True
104,412312,Nira_Lonand_D (Maharashtra),Nira_Lonand_D (Maharashtra),Nira_Lonand_D (Maharashtra),Nira,Maharashtra,False
105,277124,Ballia_Sikandarpur_D (Uttar Pradesh),Ballia_Sikandarpur_D (Uttar Pradesh),Ballia_Sikandarpur_D (Uttar Pradesh),Ballia,Uttar Pradesh,True
106,413120,Indapur_SaraswatiNagar1_D (Maharashtra),Indapur_SaraswatiNagar1_D (Maharashtra),Indapur_SaraswatiNagar1_D (Maharashtra),Indapur,Maharashtra,False
107,813205,Bhagalpur_Vikramshila_D (Bihar),Bhagalpur_Vikramshila_D (Bihar),Bhagalpur_Vikramshila_D (Bihar),Bhagalpur,Bihar,True
108,462044,Bhopal_Misrod_L (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),Bhopal,Madhya Pradesh,False
109,493996,Gariyaband_Dongari_D (Chhattisgarh),Gariyaband_Dongari_D (Chhattisgarh),Gariyaband_Dongari_D (Chhattisgarh),Gariyaband,Chhattisgarh,False
110,462001,Bhopal_Misrod_L (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),Bhopal_Pipaliya_H (Madhya Pradesh),Bhopal,Madhya Pradesh,False
111,491009,Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg,Chhattisgarh,True
112,262904,Nighasan_PaliaKalan_D (Uttar Pradesh),Nighasan_PaliaKalan_D (Uttar Pradesh),Nighasan_PaliaKalan_D (Uttar Pradesh),Nighasan,Uttar Pradesh,True
113,411062,Pune_GandharvNagari_L (Maharashtra),Pune_BhamboliMIDC_H (Maharashtra),Pune_Sudhwadi_GW (Maharashtra),Pune,Maharashtra,False
114,382016,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,False
115,384312,Unjha_SatymComplx_D (Gujarat),Unjha_SatymComplx_D (Gujarat),Unjha_SatymComplx_D (Gujarat),Unjha,Gujarat,True
116,691331,Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor,Kerala,True
117,221004,Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi_Khajuri_H (Uttar Pradesh),Varanasi,Uttar Pradesh,False
118,833102,Chakradhar_Sitaram_D (Jharkhand),Chakradhar_Sitaram_D (Jharkhand),Chakradhar_Sitaram_D (Jharkhand),Chakradharpur,Jharkhand,True
119,500042,Hyderabad_BalanagarPhase2_L (Telangana),Hyderabad_BalanagarPhase2_L (Telangana),Hyderabad_BalanagarPhase2_L (Telangana),Hyderabad,Telangana,False
120,804404,Khizasarai_Lodipur_D (Bihar),Khizasarai_Lodipur_D (Bihar),Khizasarai_Lodipur_D (Bihar),Khizasarai,Bihar,False
121,303107,Paota_HoliChowk_DPP (Rajasthan),Paota_HoliChowk_DPP (Rajasthan),Paota_HoliChowk_DPP (Rajasthan),Paota,Rajasthan,True
122,629187,Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam,Tamil Nadu,True
123,530029,Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam_Duvvada_H (Andhra Pradesh),Visakhapatnam,Andhra Pradesh,False
124,695557,Nedumangad_Central_D (Kerala),Nedumangad_Central_D (Kerala),Nedumangad_Central_D (Kerala),Nedumangad,Kerala,True
125,400218,Mumbai_Talojamidc_L (Maharashtra),Mumbai_Talojamidc_L (Maharashtra),Mumbai_Talojamidc_L (Maharashtra),Navi mumbai,Maharashtra,False
126,496100,Raigarh_Sahadeopali_H (Chhattisgarh),Raigarh_Sahadeopali_H (Chhattisgarh),Raigarh_Sahadeopali_H (Chhattisgarh),Raigarh,Chhattisgarh,False
127,534330,Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku,Andhra Pradesh,True
128,460666,Multai_Birulbzr_D (Madhya Pradesh),Multai_Birulbzr_D (Madhya Pradesh),Multai_Birulbzr_D (Madhya Pradesh),Multai,Madhya Pradesh,True
129,701101,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,True
130,627301,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,False
131,151213,Faridkot_Puricolny_D (Punjab),Faridkot_Puricolny_D (Punjab),Faridkot_Puricolny_D (Punjab),Faridkot,Punjab,True
132,629706,Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil_Muhilanvilai_D (Tamil Nadu),Nagercoil,Tamil Nadu,False
133,723101,Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia_GariDPP_D (West Bengal),Purulia,West Bengal,True
134,110118,Delhi_RailYardRd_L (Delhi),Delhi_RailYardRd_L (Delhi),Delhi_RailYardRd_L (Delhi),Delhi,Delhi,False
135,799279,Kailashahar_Ward4_D (Tripura),NSZ,Kailashahar_Ward4_D (Tripura),Kailashahar,Tripura,True
136,622301,Peravurani_Karambakkudi_D (Tamil Nadu),Peravurani_Karambakkudi_D (Tamil Nadu),Peravurani_Karambakkudi_D (Tamil Nadu),Peravurani,Tamil Nadu,True
137,788102,Pailapool_Lagktlbocpr_D (Assam),Pailapool_Lagktlbocpr_D (Assam),Pailapool_Lagktlbocpr_D (Assam),Pailapool,Assam,True
138,224205,Kumarganj_Siddhiganeshpur_D (Uttar Pradesh),Kumarganj_Siddhiganeshpur_D (Uttar Pradesh),Kumarganj_Siddhiganeshpur_D (Uttar Pradesh),Kumarganj,Uttar Pradesh,True
139,535546,Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili,Andhra Pradesh,True
140,712502,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,False
141,518464,Kurnool_Kodumur_D (Andhra Pradesh),Kurnool_Kodumur_D (Andhra Pradesh),Kurnool_Kodumur_D (Andhra Pradesh),Kurnool,Andhra Pradesh,True
142,560097,Bangalore_Bettahalsoor_L (Karnataka),Bangalore_Bettahalsoor_L (Karnataka),Bangalore_Bettahalsoor_L (Karnataka),Bangalore,Karnataka,False
143,686106,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,False
144,516127,Rajampet_BypassRd_D (Andhra Pradesh),Rajampet_BypassRd_D (Andhra Pradesh),Rajampet_BypassRd_D (Andhra Pradesh),Rajampet,Andhra Pradesh,True
145,271209,Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda_AmanColony_D (Uttar Pradesh),Gonda,Uttar Pradesh,True
146,686507,Kottayam_Ponkunnam_D (Kerala),Kottayam_Ponkunnam_D (Kerala),Kottayam_Ponkunnam_D (Kerala),Kottayam,Kerala,True
147,676521,Pandikkad_Thangalpadi_D (Kerala),Pandikkad_Thangalpadi_D (Kerala),Pandikkad_Thangalpadi_D (Kerala),Pandikkad,Kerala,True
148,444803,Daryapur_WakodDPP_D (Maharashtra),Daryapur_WakodDPP_D (Maharashtra),Daryapur_WakodDPP_D (Maharashtra),Daryapur,Maharashtra,True
149,431402,Parbhani_Gajanannagar_D (Maharashtra),Parbhani_Gajanannagar_D (Maharashtra),Parbhani_Gajanannagar_D (Maharashtra),Parbhani,Maharashtra,True
150,754007,Kalapathar_Bamborahi_D (Orissa),Kalapathar_Bamborahi_D (Orissa),Kalapathar_Bamborahi_D (Orissa),Kalapathar,Orissa,False
151,360003,Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot,Gujarat,False
152,801506,Patna_PhulwariSharif_L (Bihar),Patna_Janarjanpur_H (Bihar),Patna_PhulwariSharif_L (Bihar),Patna,Bihar,False
153,192101,Anantnag_QaziBagh_DPP (Jammu & Kashmir),Anantnag_QaziBagh_DPP (Jammu & Kashmir),Anantnag_QaziBagh_DPP (Jammu & Kashmir),Anantnag,Jammu & Kashmir,True
154,285123,Jalaun_Sengarcol_D (Uttar Pradesh),Jalaun_Sengarcol_D (Uttar Pradesh),Jalaun_Sengarcol_D (Uttar Pradesh),Jalaun,Uttar Pradesh,True
155,441118,Wardha_Alodi_D (Maharashtra),Wardha_Alodi_D (Maharashtra),Wardha_Alodi_D (Maharashtra),Wardha,Maharashtra,True
